Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
40,Jimmy Neutron: Boy Genius,"10,29,92,536","8,09,36,232",78.60%,"2,20,56,304",21.40%,2001
41,Don't Say a Word,"10,00,20,092","5,50,01,642",55%,"4,50,18,450",45%,2001
42,Evolution,"9,83,76,292","3,83,45,494",39%,"6,00,30,798",61%,2001
43,I Am Sam,"9,78,18,139","4,03,11,852",41.20%,"5,75,06,287",58.80%,2001
44,Enemy at the Gates,"9,69,76,270","5,14,01,758",53%,"4,55,74,512",47%,2001
45,The Wedding Planner,"9,47,28,529","6,04,00,856",63.80%,"3,43,27,673",36.20%,2001
46,Behind Enemy Lines,"9,17,53,202","5,88,56,790",64.10%,"3,28,96,412",35.90%,2001
47,Gosford Park,"8,77,54,044","4,13,08,615",47.10%,"4,64,45,429",52.90%,2001
48,Ali,"8,77,13,825","5,82,03,105",66.40%,"2,95,10,720",33.60%,2001
49,Rat Race,"8,54,98,534","5,66,18,055",66.20%,"2,88,80,479",33.80%,2001
50,Final Fantasy: The Spirits Within,"8,51,31,830","3,21,31,830",37.70%,"5,30,00,000",62.30%,2001
51,The Animal,"8,47,72,742","5,77,43,062",68.10%,"2,70,29,680",31.90%,2001
52,Blow,"8,32,82,296","5,29,90,775",63.60%,"3,02,91,521",36.40%,2001
53,Exit Wounds,"7,99,58,599","5,17,58,599",64.70%,"2,82,00,000",35.30%,2001
54,Serendipity,"7,75,16,304","5,02,94,317",64.90%,"2,72,21,987",35.10%,2001
55,Kate & Leopold,"7,60,19,048","4,71,21,859",62%,"2,88,97,189",38%,2001
56,Manitou's Shoe,"7,54,82,094",0,0,"7,54,82,094",100%,2001
57,From Hell,"7,45,58,115","3,16,02,566",42.40%,"4,29,55,549",57.60%,2001
58,The One,"7,26,89,126","4,39,05,746",60.40%,"2,87,83,380",39.60%,2001
59,The Royal Tenenbaums,"7,14,41,250","5,23,64,010",73.30%,"1,90,77,240",26.70%,2001
60,Down to Earth,"7,11,86,502","6,41,86,502",90.20%,"70,00,000",9.80%,2001
61,Brotherhood of the Wolf,"7,07,52,904","1,12,60,096",15.90%,"5,94,92,808",84.10%,2001
62,Thir13en Ghosts,"6,84,67,960","4,18,67,960",61.10%,"2,66,00,000",38.90%,2001
63,Pokémon 3 the Movie: Spell of the Unown,"6,84,11,275","1,70,52,128",24.90%,"5,13,59,147",75.10%,2001
64,Bandits,"6,76,31,903","4,15,75,141",61.50%,"2,60,56,762",38.50%,2001
65,Not Another Teen Movie,"6,64,68,332","3,82,52,284",57.50%,"2,82,16,048",42.50%,2001
66,Sweet November,"6,57,54,228","2,52,88,103",38.50%,"4,04,66,125",61.50%,2001
67,K0PAX,"6,50,01,485","5,03,38,485",77.40%,"1,46,63,000",22.60%,2001
68,Kiss of the Dragon,"6,44,37,847","3,68,45,124",57.20%,"2,75,92,723",42.80%,2001
69,Captain Corelli's Mandolin,"6,21,12,895","2,55,43,895",41.10%,"3,65,69,000",58.90%,2001
70,Zoolander,"6,07,80,981","4,51,72,250",74.30%,"1,56,08,731",25.70%,2001
71,The Crimson Rivers,"6,00,94,966","5,94,966",1%,"5,95,00,000",99%,2001
72,Jeepers Creepers,"5,92,17,789","3,79,04,175",64%,"2,13,13,614",36%,2001
73,Heartbreakers,"5,77,56,408","4,03,36,607",69.80%,"1,74,19,801",30.20%,2001
74,15 Minutes,"5,63,59,980","2,44,03,552",43.30%,"3,19,56,428",56.70%,2001
75,Driven,"5,47,44,738","3,27,20,065",59.80%,"2,20,24,673",40.20%,2001
76,Domestic Disturbance,"5,42,49,294","4,52,46,095",83.40%,"90,03,199",16.60%,2001
77,The Closet,"5,01,04,745","66,78,894",13.30%,"4,34,25,851",86.70%,2001
78,Monster's Ball,"4,49,09,486","3,12,73,922",69.60%,"1,36,35,564",30.40%,2001
79,Recess: School's Out,"4,44,60,850","3,67,06,141",82.60%,"77,54,709",17.40%,2001
80,Hardball,"4,41,02,389","4,02,22,729",91.20%,"38,79,660",8.80%,2001
81,In the Bedroom,"4,33,68,779","3,59,30,604",82.80%,"74,38,175",17.20%,2001
82,See Spot Run,"4,30,57,552","3,33,57,476",77.50%,"97,00,076",22.50%,2001
83,Shaolin Soccer,"4,27,76,760","4,89,600",1.10%,"4,22,87,160",98.90%,2001
84,Black Knight,"3,99,76,235","3,34,26,971",83.60%,"65,49,264",16.40%,2001
85,Memento,"3,97,23,096","2,55,44,867",64.30%,"1,41,78,229",35.70%,2001
86,Crocodile Dundee in Los Angeles,"3,94,38,674","2,56,35,682",65%,"1,38,02,992",35%,2001
87,Haunted Castle,"3,90,93,166","1,36,51,656",34.90%,"2,54,41,510",65.10%,2001
88,Someone Like You,"3,86,89,940","2,73,43,067",70.70%,"1,13,46,873",29.30%,2001
89,What's the Worst That Could Happen?,"3,84,64,131","3,22,69,834",83.90%,"61,94,297",16.10%,2001
90,The Majestic,"3,73,17,558","2,78,07,266",74.50%,"95,10,292",25.50%,2001
91,Valentine,"3,66,84,136","2,03,84,136",55.60%,"1,63,00,000",44.40%,2001
92,Joy Ride,"3,66,42,838","2,19,74,919",60%,"1,46,67,919",40%,2001
93,Riding in Cars with Boys,"3,57,43,308","3,01,65,536",84.40%,"55,77,772",15.60%,2001
